LSOA_CODE,PCN_NAME,PCN_Patients,PCN_Total,Proportion_PCN,LSOA_Population,Proportion_LSOA,CumulativePatients,CumulativePercent,SUB_ICB_LOCATION_NAME
E01029609,Shelton & Hanley PCN,17,41818,4.0652350662394185e-4,1731,0.009820912767186597,40781,97.52020660959396,Stoke-on-Trent
E01014263,Shelton & Hanley PCN,16,41818,3.8261035917547465e-4,1982,0.008072653884964682,40797,97.5584676455115,Stoke-on-Trent
E01014306,Shelton & Hanley PCN,16,41818,3.8261035917547465e-4,1883,0.008497079129049389,40813,97.59672868142904,Stoke-on-Trent
E01029578,Shelton & Hanley PCN,16,41818,3.8261035917547465e-4,1713,0.009340338587273789,40829,97.6349897173466,Stoke-on-Trent
E01029602,Shelton & Hanley PCN,16,41818,3.8261035917547465e-4,2038,0.007850834151128557,40845,97.67325075326414,Stoke-on-Trent
E01029611,Shelton & Hanley PCN,16,41818,3.8261035917547465e-4,1903,0.008407777193904361,40861,97.7115117891817,Stoke-on-Trent
E01014260,Shelton & Hanley PCN,15,41818,3.586972117270075e-4,1483,0.010114632501685773,40876,97.74738151035439,Stoke-on-Trent
E01014364,Shelton & Hanley PCN,15,41818,3.586972117270075e-4,1592,0.009422110552763818,40891,97.78325123152709,Stoke-on-Trent
E01029605,Shelton & Hanley PCN,15,41818,3.586972117270075e-4,1279,0.011727912431587178,40906,97.81912095269979,Stoke-on-Trent
E01029782,Shelton & Hanley PCN,15,41818,3.586972117270075e-4,2505,0.005988023952095809,40921,97.85499067387249,Stoke-on-Trent
E01014301,Shelton & Hanley PCN,14,41818,3.3478406427854036e-4,1609,0.00870105655686762,40935,97.88846908030034,Stoke-on-Trent
E01014317,Shelton & Hanley PCN,14,41818,3.3478406427854036e-4,1754,0.00798175598631699,40949,97.9219474867282,Stoke-on-Trent
